Date,Price,Regime,Regime_Mean
2019-12-03,62.95,3,69.22889394364012
2019-12-04,65.25,3,69.22889394364012
2019-12-05,65.67,3,69.22889394364012
2019-12-06,66.5,3,69.22889394364012
2019-12-09,66.44,3,69.22889394364012
2019-12-10,66.57,3,69.22889394364012
2019-12-11,65.37,3,69.22889394364012
2019-12-12,66.67,3,69.22889394364012
2019-12-13,67.44,3,69.22889394364012
2019-12-16,68.04,3,69.22889394364012
2019-12-17,68.99,3,69.22889394364012
2019-12-18,69.12,3,69.22889394364012
2019-12-19,69.7,3,69.22889394364012
2019-12-20,68.66,3,69.22889394364012
2019-12-23,67.49,3,69.22889394364012
2019-12-24,69.26,3,69.22889394364012
2019-12-25,69.26,3,69.22889394364012
2019-12-26,69.26,3,69.22889394364012
2019-12-27,68.91,3,69.22889394364012
2019-12-30,68.3,3,69.22889394364012
2019-12-31,67.77,3,69.22889394364012
2020-01-01,67.77,3,69.22889394364012
2020-01-02,67.05,3,69.22889394364012
2020-01-03,69.08,3,69.22889394364012
2020-01-06,70.25,3,69.22889394364012
2020-01-07,68.74,3,69.22889394364012
2020-01-08,67.31,3,69.22889394364012
2020-01-09,66.58,3,69.22889394364012
2020-01-10,66.77,3,69.22889394364012
2020-01-13,64.14,3,69.22889394364012
2020-01-14,64.45,3,69.22889394364012
2020-01-15,63.29,3,69.22889394364012
2020-01-16,64.63,3,69.22889394364012
2020-01-17,64.05,3,69.22889394364012
2020-01-20,64.63,3,69.22889394364012
2020-01-21,63.66,3,69.22889394364012
2020-01-22,62.11,3,69.22889394364012
2020-01-23,61.26,3,69.22889394364012
2020-01-24,59.34,3,69.22889394364012
2020-01-27,58.54,3,69.22889394364012
2020-01-28,59.37,3,69.22889394364012
2020-01-29,59.46,3,69.22889394364012
2020-01-30,57.72,3,69.22889394364012
2020-01-31,57.77,3,69.22889394364012
2020-02-03,54.0,3,69.22889394364012
2020-02-04,53.9,3,69.22889394364012
2020-02-05,55.36,3,69.22889394364012
2020-02-06,55.18,3,69.22889394364012
2020-02-07,54.53,3,69.22889394364012
2020-02-10,53.39,3,69.22889394364012
2020-02-11,54.0,3,69.22889394364012
2020-02-12,55.54,3,69.22889394364012
2020-02-13,56.34,3,69.22889394364012
2020-02-14,57.37,3,69.22889394364012
2020-02-17,57.83,3,69.22889394364012
2020-02-18,57.35,3,69.22889394364012
2020-02-19,59.72,3,69.22889394364012
2020-02-20,59.72,3,69.22889394364012
2020-02-21,58.6,3,69.22889394364012
2020-02-24,56.04,3,69.22889394364012
2020-02-25,56.71,3,69.22889394364012
2020-02-26,54.96,3,69.22889394364012
2020-02-27,52.19,3,69.22889394364012
2020-02-28,51.31,3,69.22889394364012
2020-03-02,52.52,3,69.22889394364012
2020-03-03,52.24,3,69.22889394364012
2020-03-04,51.86,3,69.22889394364012
2020-03-05,51.29,3,69.22889394364012
2020-03-06,45.6,3,69.22889394364012
2020-03-09,35.33,3,69.22889394364012
2020-03-10,36.66,3,69.22889394364012
2020-03-11,34.45,3,69.22889394364012
2020-03-12,31.05,3,69.22889394364012
2020-03-13,33.0,3,69.22889394364012
2020-03-16,28.04,3,69.22889394364012
2020-03-17,28.04,3,69.22889394364012
2020-03-18,26.93,3,69.22889394364012
2020-03-19,23.3,3,69.22889394364012
2020-03-20,25.4,3,69.22889394364012
2020-03-23,25.06,3,69.22889394364012
2020-03-24,23.75,3,69.22889394364012
2020-03-25,25.62,3,69.22889394364012
2020-03-26,23.55,3,69.22889394364012
2020-03-27,22.39,3,69.22889394364012
2020-03-30,19.07,3,69.22889394364012
2020-03-31,19.19,3,69.22889394364012
2020-04-01,14.97,3,69.22889394364012
2020-04-02,20.24,3,69.22889394364012
2020-04-03,24.33,3,69.22889394364012
2020-04-06,22.58,3,69.22889394364012
2020-04-07,22.1,3,69.22889394364012
2020-04-08,25.22,3,69.22889394364012
2020-04-09,20.23,3,69.22889394364012
2020-04-14,21.74,3,69.22889394364012
2020-04-15,19.8,3,69.22889394364012
2020-04-16,18.69,3,69.22889394364012
2020-04-17,19.75,3,69.22889394364012
2020-04-20,17.36,3,69.22889394364012
2020-04-21,9.12,3,69.22889394364012
2020-04-22,13.77,3,69.22889394364012
2020-04-23,15.06,3,69.22889394364012
2020-04-24,15.87,3,69.22889394364012
2020-04-27,15.17,3,69.22889394364012
2020-04-28,15.6,3,69.22889394364012
2020-04-29,17.86,3,69.22889394364012
2020-04-30,18.11,3,69.22889394364012
2020-05-01,18.49,3,69.22889394364012
2020-05-04,20.4,3,69.22889394364012
2020-05-05,25.46,3,69.22889394364012
2020-05-06,24.2,3,69.22889394364012
2020-05-07,24.23,3,69.22889394364012
2020-05-11,25.53,3,69.22889394364012
2020-05-12,26.67,3,69.22889394364012
2020-05-13,27.89,3,69.22889394364012
2020-05-14,29.87,3,69.22889394364012
2020-05-15,30.95,3,69.22889394364012
2020-05-18,33.3,3,69.22889394364012
